Live,Symbol,Percentage,Initial_Margin,Maintenance,Hedge,Margin_Calculation,Profit_Calculation,Trade,Comment
Live - 1,GBPCADp, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHFp, , , , , , , ,Symbol ignored: *
Live - 1,GBPNZDp, , , , , , , ,Symbol ignored: *
Live - 1,GBPJPYp, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSDp, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPYp, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSDp, , , , , , , ,Symbol ignored: *
Live - 1,USDCADp, , , , , , , ,Symbol ignored: *
Live - 1,USDCHFp, , , , , , , ,Symbol ignored: *
Live - 1,USDJPYp, , , , , , , ,Symbol ignored: *
Live - 1,XAGUSDp, , , , , , , ,Symbol ignored: *
Live - 1,XAUUSDp, , , , , , , ,Symbol ignored: *
Live - 1,NZDCAD, , , , , , , ,Symbol ignored: *
Live - 2,.JP225.x, , , , , , , ,Symbol ignored: *
Live - 2,XPTUSD.hk, , , , , , , ,Symbol ignored: *
Live - 2,AUDCHF', , , , , , , ,Symbol ignored: *
Live - 2,AUDCAD, , , , , , , ,Symbol ignored: *
Live - 2,AUDCADq, , , , , , , ,Symbol ignored: *
Live - 2,AUDCAD`, , , , , , , ,Symbol ignored: *
Live - 2,AUDCHF, , , , , , , ,Symbol ignored: *
Live - 2,AUDCHF`, , , , , , , ,Symbol ignored: *
Live - 2,AUDCHFq, , , , , , , ,Symbol ignored: *
Live - 2,AUDJPY, , , , , , , ,Symbol ignored: *
Live - 2,AUDJPY`, , , , , , , ,Symbol ignored: *
Live - 2,AUDJPYq, , , , , , , ,Symbol ignored: *
Live - 2,AUDNZD, , , , , , , ,Symbol ignored: *
Live - 2,AUDNZD`, , , , , , , ,Symbol ignored: *
Live - 2,AUDNZDq, , , , , , , ,Symbol ignored: *
Live - 2,AUDSGD, , , , , , , ,Symbol ignored: *
Live - 2,AUDSGD`, , , , , , , ,Symbol ignored: *
Live - 2,AUDSGDq, , , , , , , ,Symbol ignored: *
Live - 2,AUDUSD, , , , , , , ,Symbol ignored: *
Live - 2,AUDUSD`, , , , , , , ,Symbol ignored: *
Live - 2,AUDUSDq, , , , , , , ,Symbol ignored: *
Live - 2,CADCHF, , , , , , , ,Symbol ignored: *
Live - 2,CADCHF`, , , , , , , ,Symbol ignored: *
Live - 2,CADCHFq, , , , , , , ,Symbol ignored: *
Live - 2,CADJPY, , , , , , , ,Symbol ignored: *
Live - 2,CADJPY`, , , , , , , ,Symbol ignored: *
Live - 2,CADJPYq, , , , , , , ,Symbol ignored: *
